"""","住宅地_平均価格_平成25年(円／m2)","住宅地_平均価格_平成26年(円／m2)","住宅地_平均変動率_平成25年(％)","住宅地_平均変動率_平成26年(％)","商業地_平均価格_平成25年(円／m2)","商業地_平均価格_平成26年(円／m2)","商業地_平均変動率_平成25年(％)","商業地_平均変動率_平成26年(％)"
"  県平均","36200.0","35400.0","-4.2","-3.0","81400.0","79700.0","-4.6","-3.0"
"","","","","","","","",""
" 和歌山市","71800.0","70900.0","-3.0","-1.8","137500.0","136400.0","-2.8","-1.1"
" 海 南 市","49800.0","48400.0","-3.0","-2.7","68300.0","66800.0","-5.0","-2.2"
" 橋 本 市","34700.0","33600.0","-4.9","-3.6","65200.0","63400.0","-4.3","-2.7"
" 有 田 市","37800.0","36300.0","-5.7","-4.1","60000.0","55900.0","-6.3","-6.8"
" 御 坊 市","34700.0","33400.0","-4.6","-3.9","58800.0","56000.0","-5.9","-4.8"
" 田 辺 市","27900.0","28000.0","-2.7","-1.1","57500.0","56200.0","-4.5","-2.9"
" 新 宮 市","35500.0","34700.0","-4.7","-2.7","52800.0","51000.0","-6.4","-4.1"
" 紀の川市","23200.0","22300.0","-4.7","-4.1","39000.0","37200.0","-6.1","-4.7"
" 岩 出 市","38300.0","38200.0","-0.7","-0.5","71700.0","72000.0","-0.5","0.4"
"","","","","","","","",""
" 紀美野町","13600.0","13000.0","-4.1","-3.7","37000.0","35000.0","-3.9","-5.4"
"","","","","","","","",""
"   かつらぎ町","27500.0","25000.0","-3.7","-2.8","39800.0","38200.0","-4.8","-4.0"
" 九度山町","24400.0","23400.0","-4.6","-4.0","…","…","…","…"
" 高 野 町","37400.0","35300.0","-6.0","-5.7","96500.0","91500.0","-5.4","-5.2"
"","","","","","","","",""
" 湯 浅 町","39900.0","37600.0","-6.2","-5.9","55400.0","51600.0","-7.0","-6.9"
" 広 川 町","23300.0","21200.0","-6.5","-3.9","…","…","…","…"
" 有田川町","30300.0","29100.0","-4.2","-4.4","54400.0","52300.0","-7.6","-4.5"
"","","","","","","","",""
" 美 浜 町","25100.0","24000.0","-5.8","-4.7","…","…","…","…"
" 日 高 町","22600.0","21600.0","-5.5","-4.9","44100.0","42000.0","-5.2","-4.8"
" 由 良 町","24900.0","23800.0","-5.9","-4.6","39500.0","37400.0","-6.2","-5.3"
" 印 南 町","16600.0","16100.0","-2.2","-2.8","38000.0","35400.0","-6.9","-6.8"
" みなべ町","29200.0","28100.0","-4.8","-3.8","47000.0","45100.0","-5.1","-4.0"
" 日高川町","11500.0","11100.0","-4.0","-2.7","32800.0","32000.0","-4.9","-2.4"
"","","","","","","","",""
" 白 浜 町","22100.0","23700.0","-5.2","-2.6","56800.0","54800.0","-6.3","-4.5"
" 上富田町","30300.0","29600.0","-3.6","-2.4","37500.0","36400.0","-4.3","-2.9"
" すさみ町","21600.0","21100.0","-4.2","-2.3","…","…","…","…"
"","","","","","","","",""
"   那智勝浦町","25900.0","24800.0","-9.2","-4.6","42000.0","39700.0","-10.6","-5.5"
" 太 地 町","22000.0","21100.0","-7.5","-4.2","…","…","…","…"
" 古座川町","12100.0","11700.0","-6.3","-2.2","27200.0","25900.0","-9.3","-4.8"
" 北 山 村","7900.0","7600.0","-4.1","-3.0","…","…","…","…"
" 串 本 町","22200.0","21200.0","-7.8","-4.3","46500.0","43700.0","-9.2","-6.0"
